source,frame_id,point_id,x,y,z,doppler,snr,noise
left,130,2,-0.362,0.9891,-0.1975,-0.2976,193,652
left,131,1,-0.362,0.9891,-0.1975,-0.2976,217,650
left,132,1,-0.362,0.9819,-0.2304,-0.2976,213,663
left,133,1,-0.3949,0.9825,-0.1646,-0.2976,218,649
left,134,1,-0.3949,0.9825,-0.1646,-0.2976,212,643
left,135,1,-0.4278,0.9686,-0.1646,-0.2976,225,649
left,136,1,-0.4278,0.9624,-0.1975,-0.2976,240,635
left,137,1,-0.5412,0.2976,-0.1353,0,143,640
left,137,2,0.1316,0.6421,2.0405,0,133,581
left,137,3,-0.4278,0.9686,-0.1646,-0.2976,230,635
left,138,1,-0.4608,0.9471,-0.1975,-0.2976,215,652
left,139,1,-0.4608,0.9471,-0.1975,-0.2976,208,634
left,140,1,2.6856,10.1553,-3.0213,-0.5952,114,560
left,140,2,-0.4937,0.9304,-0.1975,-0.2976,212,626
left,141,1,0,0.9744,1.9089,0,130,594
left,141,2,3.0213,10.0605,-3.0213,-0.5952,118,568
left,141,3,-0.4937,0.9368,-0.1646,-0.2976,185,633
left,142,1,1.6587,7.5014,0.7109,-0.5952,114,563
left,142,2,3.0213,10.1553,-2.6856,-0.5952,153,535
left,142,3,-0.4937,0.9419,-0.1316,-0.2976,163,641
left,143,1,-0.2633,0.9382,1.9089,0,124,579
left,143,2,2.0405,0.6554,0,0,124,579
left,143,3,-2.396,1.3802,-0.3423,0,125,571
left,143,4,3.0213,10.2382,-2.3499,-0.5952,139,563
left,143,5,-0.5266,0.924,-0.1316,-0.2976,197,633
left,144,1,3.357,9.9535,-3.0213,-0.5952,147,552
left,144,2,-0.5595,0.9086,-0.0987,-0.2976,209,620
left,145,1,1.6587,7.4752,0.9478,-0.5952,132,573
left,145,2,3.357,9.8454,-3.357,-0.5952,125,575
left,145,3,-0.5003,0.6882,-0.1053,-0.2976,204,623
left,146,1,-0.5266,0.3902,2.0405,0,114,581
left,146,2,2.1327,7.354,0.9478,-0.5952,113,584
left,146,3,-0.4739,0.7021,-0.1316,-0.2976,208,630
left,147,1,0.0592,0.7473,1.7772,0,130,596
left,147,2,-0.5924,0.8832,-0.1316,-0.2976,178,642
left,148,1,0,1.0938,1.843,0,134,592
left,148,2,-1.3691,1.4194,1.9681,0,129,566
left,148,3,1.7114,1.5689,1.5403,0,129,566
left,149,1,0.0658,0.9722,1.9089,0,130,582
left,149,2,-2.0537,1.8652,-0.2567,0,115,545
left,149,3,1.797,1.2667,1.7114,0,115,545
left,149,4,-1.5403,1.3588,1.8825,0,115,545
left,149,5,-0.5266,0.6635,-0.1316,-0.2976,168,648
left,150,1,-0.5266,0.6635,-0.1316,-0.2976,219,640
left,151,1,-2.3696,1.0957,1.876,0,117,548
left,151,2,-0.5412,0.6466,-0.1053,-0.2976,209,637
left,152,1,-0.1316,0.6421,2.0405,0,114,590
left,153,1,3.6203,9.6411,-2.962,-0.5952,130,579
left,153,2,-0.5792,0.6119,-0.158,-0.2976,165,648
left,154,1,3.6927,9.9309,-2.6856,-0.5952,139,560
left,154,2,-0.5792,0.6181,-0.1316,-0.2976,207,644
left,155,1,2.962,9.9562,-2.6329,-0.5952,146,579
left,155,2,-0.6056,0.5923,-0.1316,-0.2976,206,639
left,156,1,0.0592,0.7473,1.7772,0,128,590
