source,frame_id,point_id,x,y,z,doppler,snr,noise
right,95,3,-1.3384,2.6117,-0.6246,5.1869,229,341
right,96,1,-2.8107,3.388,-0.9369,0,161,568
right,96,2,4.385,7.989,-1.3703,0,144,478
right,96,3,-1.3384,2.6117,-0.6246,5.1869,218,352
right,97,1,-2.8107,3.388,-0.9369,0,165,564
right,97,2,4.385,7.989,-1.3703,0,144,478
right,97,3,-1.3384,2.6117,-0.6246,5.1869,222,344
right,98,1,-2.8107,3.388,-0.9369,0,160,569
right,98,2,4.385,7.989,-1.3703,0,145,476
right,98,3,-1.3384,2.6117,-0.6246,5.1869,232,338
right,99,1,-2.8107,3.388,-0.9369,0,162,567
right,99,2,4.385,7.989,-1.3703,0,143,478
right,99,3,-1.3384,2.6117,-0.6246,5.1869,213,356
right,100,1,-2.8107,3.388,-0.9369,0,163,566
right,100,2,4.385,7.989,-1.3703,0,142,480
right,100,3,-1.4277,2.5641,-0.6246,5.1869,209,358
right,101,1,-2.8107,3.388,-0.9369,0,163,566
right,101,2,4.385,7.989,-1.3703,0,142,479
right,101,3,-1.4277,2.5641,-0.6246,5.1869,220,350
right,102,1,-2.8107,3.388,-0.9369,0,164,565
right,102,2,4.385,7.989,-1.3703,0,141,480
right,102,3,-1.3384,2.6117,-0.6246,5.1869,224,345
right,103,1,-2.8107,3.388,-0.9369,0,165,564
right,103,2,4.385,7.989,-1.3703,0,141,480
right,103,3,-1.3384,2.6117,-0.6246,5.1869,230,338
right,104,1,-2.8107,3.388,-0.9369,0,162,567
right,104,2,4.385,7.989,-1.3703,0,141,480
right,104,3,-1.3384,2.6117,-0.6246,5.1869,229,341
right,105,1,-2.8107,3.388,-0.9369,0,162,567
right,105,2,4.659,7.8323,-1.3703,0,142,478
right,105,3,-1.3384,2.6117,-0.6246,5.1869,213,353
right,106,1,-2.8107,3.388,-0.9369,0,162,567
right,106,2,4.385,7.989,-1.3703,0,143,478
right,106,3,-1.3384,2.6117,-0.6246,5.1869,225,343
