source,frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
right,14,4,0.999383,-0.00596069,0.0346128,-7.90892e-05,-0.450412,0.0240271,9.87097,0.375408,-0.352713,1.15344,-0.00450607,0.000227582,0.0987096,1,6.34361e-05,-9.80883e-06,1.84289e-05,0.0126872,-0.00196177,0.00368577,0.999383,-0.00596069,0.0346128,-7.90892e-05,0.0243927,0.547896,-1.08944,33.875,1,21410,8747682
left,32,1,0.999383,-0.00596069,0.0346128,-7.90892e-05,-0.450412,0.0240271,9.87097,0.375408,-0.352713,1.15344,-0.00450607,0.000227582,0.0987096,1,6.34361e-05,-9.80883e-06,1.84289e-05,0.0126872,-0.00196177,0.00368577,0.999383,-0.00596069,0.0346128,-7.90892e-05,0.0243927,0.547896,-1.08944,33.875,1,21410,8747682
left,32,2,0.999383,-0.00596069,0.0346128,-7.90892e-05,-0.450412,0.0240271,9.87097,0.375408,-0.352713,1.15344,-0.00450607,0.000227582,0.0987096,1,6.34361e-05,-9.80883e-06,1.84289e-05,0.0126872,-0.00196177,0.00368577,0.999383,-0.00596069,0.0346128,-7.90892e-05,0.0243927,0.547896,-1.08944,33.875,1,21410,8747682
left,32,3,0.999384,-0.00589391,0.0346023,-7.07454e-05,-0.507514,0.00406821,9.8549,0.29801,-0.402692,1.16867,-0.00507689,2.77123e-05,0.0985489,1,6.52708e-05,-8.84756e-06,1.03507e-05,0.0130542,-0.00176951,0.00207014,0.999384,-0.00589391,0.0346023,-7.07454e-05,0.0225257,0.547388,-1.08742,33.875,1,21411,8747782
left,32,4,0.999384,-0.00589391,0.0346023,-7.07454e-05,-0.507514,0.00406821,9.8549,0.29801,-0.402692,1.16867,-0.00507689,2.77123e-05,0.0985489,1,6.52708e-05,-8.84756e-06,1.03507e-05,0.0130542,-0.00176951,0.00207014,0.999384,-0.00589391,0.0346023,-7.07454e-05,0.0225257,0.547388,-1.08742,33.875,1,21411,8747782
left,32,5,0.999384,-0.00589391,0.0346023,-7.07454e-05,-0.507514,0.00406821,9.8549,0.29801,-0.402692,1.16867,-0.00507689,2.77123e-05,0.0985489,1,6.52708e-05,-8.84756e-06,1.03507e-05,0.0130542,-0.00176951,0.00207014,0.999384,-0.00589391,0.0346023,-7.07454e-05,0.0225257,0.547388,-1.08742,33.875,1,21411,8747782
left,32,6,0.999385,-0.00584485,0.0345863,-4.45564e-05,-0.494384,0.0420421,9.76966,0.311136,-0.397256,1.0667,-0.00494658,0.000411025,0.0976965,1,4.66948e-05,-1.39135e-05,2.74609e-05,0.00933896,-0.00278269,0.00549218,0.999385,-0.00584485,0.0345863,-4.45564e-05,0.0230281,0.549778,-1.08484,33.875,1,21412,8747882
right,15,1,0.999385,-0.00584485,0.0345863,-4.45564e-05,-0.494384,0.0420421,9.76966,0.311136,-0.397256,1.0667,-0.00494658,0.000411025,0.0976965,1,4.66948e-05,-1.39135e-05,2.74609e-05,0.00933896,-0.00278269,0.00549218,0.999385,-0.00584485,0.0345863,-4.45564e-05,0.0230281,0.549778,-1.08484,33.875,1,21412,8747882
right,15,2,0.999385,-0.00584485,0.0345863,-4.45564e-05,-0.494384,0.0420421,9.76966,0.311136,-0.397256,1.0667,-0.00494658,0.000411025,0.0976965,1,4.66948e-05,-1.39135e-05,2.74609e-05,0.00933896,-0.00278269,0.00549218,0.999385,-0.00584485,0.0345863,-4.45564e-05,0.0230281,0.549778,-1.08484,33.875,1,21412,8747882
right,15,3,0.999386,-0.00580022,0.0345566,-2.75297e-05,-0.51691,0.0169455,9.75807,0.249347,-0.435596,1.04073,-0.00517448,0.000160896,0.0975804,1,4.29285e-05,-2.75426e-05,1.75817e-05,0.00858569,-0.00550852,0.00351634,0.999386,-0.00580022,0.0345566,-2.75297e-05,0.0224246,0.552762,-1.0878,33.875,1,21413,8747982
right,15,4,0.999386,-0.00580022,0.0345566,-2.75297e-05,-0.51691,0.0169455,9.75807,0.249347,-0.435596,1.04073,-0.00517448,0.000160896,0.0975804,1,4.29285e-05,-2.75426e-05,1.75817e-05,0.00858569,-0.00550852,0.00351634,0.999386,-0.00580022,0.0345566,-2.75297e-05,0.0224246,0.552762,-1.0878,33.875,1,21413,8747982
right,15,5,0.999386,-0.00580022,0.0345566,-2.75297e-05,-0.51691,0.0169455,9.75807,0.249347,-0.435596,1.04073,-0.00517448,0.000160896,0.0975804,1,4.29285e-05,-2.75426e-05,1.75817e-05,0.00858569,-0.00550852,0.00351634,0.999386,-0.00580022,0.0345566,-2.75297e-05,0.0224246,0.552762,-1.0878,33.875,1,21413,8747982
left,33,1,0.999387,-0.00574684,0.0345354,-4.24241e-06,-0.281165,-0.0144206,9.85831,0.549257,-0.437114,1.1321,-0.00281533,-0.000154431,0.0985829,1,5.11537e-05,-1.86973e-05,2.46506e-05,0.0102307,-0.00373946,0.00493013,0.999387,-0.00574684,0.0345354,-4.24241e-06,0.0242627,0.552809,-1.09135,33.875,1,21414,8748082
left,33,2,0.999387,-0.00574684,0.0345354,-4.24241e-06,-0.281165,-0.0144206,9.85831,0.549257,-0.437114,1.1321,-0.00281533,-0.000154431,0.0985829,1,5.11537e-05,-1.86973e-05,2.46506e-05,0.0102307,-0.00373946,0.00493013,0.999387,-0.00574684,0.0345354,-4.24241e-06,0.0242627,0.552809,-1.09135,33.875,1,21414,8748082
left,33,3,0.999387,-0.00574684,0.0345354,-4.24241e-06,-0.281165,-0.0144206,9.85831,0.549257,-0.437114,1.1321,-0.00281533,-0.000154431,0.0985829,1,5.11537e-05,-1.86973e-05,2.46506e-05,0.0102307,-0.00373946,0.00493013,0.999387,-0.00574684,0.0345354,-4.24241e-06,0.0242627,0.552809,-1.09135,33.875,1,21414,8748082
left,33,4,0.999387,-0.00568957,0.0345301,8.69807e-06,-0.580721,-0.0176382,9.77006,0.245236,-0.43109,1.06519,-0.00580759,-0.000187165,0.0977006,1,5.43223e-05,-1.97978e-06,1.45618e-05,0.0108645,-0.000395955,0.00291236,0.999387,-0.00568957,0.0345301,8.69807e-06,0.0247438,0.552805,-1.09135,33.875,1,21415,8748182
right,16,1,0.999387,-0.00568957,0.0345301,8.69807e-06,-0.580721,-0.0176382,9.77006,0.245236,-0.43109,1.06519,-0.00580759,-0.000187165,0.0977006,1,5.43223e-05,-1.97978e-06,1.45618e-05,0.0108645,-0.000395955,0.00291236,0.999387,-0.00568957,0.0345301,8.69807e-06,0.0247438,0.552805,-1.09135,33.875,1,21415,8748182
right,16,2,0.999387,-0.00568957,0.0345301,8.69807e-06,-0.580721,-0.0176382,9.77006,0.245236,-0.43109,1.06519,-0.00580759,-0.000187165,0.0977006,1,5.43223e-05,-1.97978e-06,1.45618e-05,0.0108645,-0.000395955,0.00291236,0.999387,-0.00568957,0.0345301,8.69807e-06,0.0247438,0.552805,-1.09135,33.875,1,21415,8748182
right,16,3,0.999388,-0.00565516,0.0345147,1.63929e-05,-0.506035,-0.0543716,9.79401,0.301415,-0.457473,1.08516,-0.00506264,-0.000550159,0.0979399,1,3.24604e-05,-1.17366e-05,8.33522e-06,0.00649207,-0.00234732,0.00166704,0.999388,-0.00565516,0.0345147,1.63929e-05,0.0233863,0.551309,-1.08885,33.875,1,21416,8748282
right,16,4,0.999388,-0.00565516,0.0345147,1.63929e-05,-0.506035,-0.0543716,9.79401,0.301415,-0.457473,1.08516,-0.00506264,-0.000550159,0.0979399,1,3.24604e-05,-1.17366e-05,8.33522e-06,0.00649207,-0.00234732,0.00166704,0.999388,-0.00565516,0.0345147,1.63929e-05,0.0233863,0.551309,-1.08885,33.875,1,21416,8748282
right,16,5,0.999388,-0.00565516,0.0345147,1.63929e-05,-0.506035,-0.0543716,9.79401,0.301415,-0.457473,1.08516,-0.00506264,-0.000550159,0.0979399,1,3.24604e-05,-1.17366e-05,8.33522e-06,0.00649207,-0.00234732,0.00166704,0.999388,-0.00565516,0.0345147,1.63929e-05,0.0233863,0.551309,-1.08885,33.875,1,21416,8748282
right,16,6,0.999389,-0.00559206,0.0345031,1.5805e-05,-0.46428,-0.0619511,9.8381,0.334742,-0.480888,1.13423,-0.0046443,-0.00063132,0.0983808,1,5.99734e-05,-7.6481e-06,9.1275e-07,0.0119947,-0.00152962,0.00018255,0.999389,-0.00559206,0.0345031,1.5805e-05,0.0219757,0.550815,-1.08784,33.875,1,21417,8748382
left,34,1,0.999389,-0.00559206,0.0345031,1.5805e-05,-0.46428,-0.0619511,9.8381,0.334742,-0.480888,1.13423,-0.0046443,-0.00063132,0.0983808,1,5.99734e-05,-7.6481e-06,9.1275e-07,0.0119947,-0.00152962,0.00018255,0.999389,-0.00559206,0.0345031,1.5805e-05,0.0219757,0.550815,-1.08784,33.875,1,21417,8748382
left,34,2,0.999389,-0.00559206,0.0345031,1.5805e-05,-0.46428,-0.0619511,9.8381,0.334742,-0.480888,1.13423,-0.0046443,-0.00063132,0.0983808,1,5.99734e-05,-7.6481e-06,9.1275e-07,0.0119947,-0.00152962,0.00018255,0.999389,-0.00559206,0.0345031,1.5805e-05,0.0219757,0.550815,-1.08784,33.875,1,21417,8748382
left,34,3,0.99939,-0.00553898,0.0344842,2.50069e-05,-0.502162,0.0532232,9.7966,0.318893,-0.36624,1.09248,-0.00502445,0.000522331,0.0979659,1,5.00064e-05,-1.43778e-05,1.02744e-05,0.0100013,-0.00287556,0.00205487,0.99939,-0.00553898,0.0344842,2.50069e-05,0.0215112,0.551289,-1.08682,33.875,1,21418,8748482
left,34,4,0.99939,-0.00553898,0.0344842,2.50069e-05,-0.502162,0.0532232,9.7966,0.318893,-0.36624,1.09248,-0.00502445,0.000522331,0.0979659,1,5.00064e-05,-1.43778e-05,1.02744e-05,0.0100013,-0.00287556,0.00205487,0.99939,-0.00553898,0.0344842,2.50069e-05,0.0215112,0.551289,-1.08682,33.875,1,21418,8748482
left,34,5,0.99939,-0.00553898,0.0344842,2.50069e-05,-0.502162,0.0532232,9.7966,0.318893,-0.36624,1.09248,-0.00502445,0.000522331,0.0979659,1,5.00064e-05,-1.43778e-05,1.02744e-05,0.0100013,-0.00287556,0.00205487,0.99939,-0.00553898,0.0344842,2.50069e-05,0.0215112,0.551289,-1.08682,33.875,1,21418,8748482
right,17,1,0.999391,-0.00548292,0.0344533,3.02116e-05,-0.434867,-0.00565655,9.79734,0.334482,-0.424845,1.07397,-0.0043538,-6.69134e-05,0.0979732,1,5.25397e-05,-2.61626e-05,6.07955e-06,0.0105079,-0.00523253,0.00121591,0.999391,-0.00548292,0.0344533,3.02116e-05,0.0209897,0.553732,-1.08677,33.875,1,21419,8748582
right,17,2,0.999391,-0.00548292,0.0344533,3.02116e-05,-0.434867,-0.00565655,9.79734,0.334482,-0.424845,1.07397,-0.0043538,-6.69134e-05,0.0979732,1,5.25397e-05,-2.61626e-05,6.07955e-06,0.0105079,-0.00523253,0.00121591,0.999391,-0.00548292,0.0344533,3.02116e-05,0.0209897,0.553732,-1.08677,33.875,1,21419,8748582
right,17,3,0.999391,-0.00548292,0.0344533,3.02116e-05,-0.434867,-0.00565655,9.79734,0.334482,-0.424845,1.07397,-0.0043538,-6.69134e-05,0.0979732,1,5.25397e-05,-2.61626e-05,6.07955e-06,0.0105079,-0.00523253,0.00121591,0.999391,-0.00548292,0.0344533,3.02116e-05,0.0209897,0.553732,-1.08677,33.875,1,21419,8748582
right,17,4,0.999392,-0.00542754,0.0344442,3.28335e-05,-0.426027,-0.0179185,9.82431,0.40688,-0.435813,1.1074,-0.00426097,-0.000189317,0.0982431,1,5.14016e-05,-3.60254e-06,3.70873e-06,0.0102803,-0.000720508,0.000741747,0.999392,-0.00542754,0.0344442,3.28335e-05,0.024814,0.553718,-1.08779,33.875,1,21420,8748682
left,35,1,0.999392,-0.00542754,0.0344442,3.28335e-05,-0.426027,-0.0179185,9.82431,0.40688,-0.435813,1.1074,-0.00426097,-0.000189317,0.0982431,1,5.14016e-05,-3.60254e-06,3.70873e-06,0.0102803,-0.000720508,0.000741747,0.999392,-0.00542754,0.0344442,3.28335e-05,0.024814,0.553718,-1.08779,33.875,1,21420,8748682
left,35,2,0.999392,-0.00542754,0.0344442,3.28335e-05,-0.426027,-0.0179185,9.82431,0.40688,-0.435813,1.1074,-0.00426097,-0.000189317,0.0982431,1,5.14016e-05,-3.60254e-06,3.70873e-06,0.0102803,-0.000720508,0.000741747,0.999392,-0.00542754,0.0344442,3.28335e-05,0.024814,0.553718,-1.08779,33.875,1,21420,8748682
left,35,3,0.999393,-0.00535569,0.0344359,4.91461e-05,-0.460503,-0.028662,9.79832,0.339353,-0.458512,1.09494,-0.00460546,-0.000300117,0.0979832,1,6.80255e-05,-2.25977e-06,1.8083e-05,0.0136051,-0.000451954,0.00361661,0.999393,-0.00535569,0.0344359,4.91461e-05,0.024862,0.549346,-1.0889,33.875,1,21421,8748782
left,35,4,0.999393,-0.00535569,0.0344359,4.91461e-05,-0.460503,-0.028662,9.79832,0.339353,-0.458512,1.09494,-0.00460546,-0.000300117,0.0979832,1,6.80255e-05,-2.25977e-06,1.8083e-05,0.0136051,-0.000451954,0.00361661,0.999393,-0.00535569,0.0344359,4.91461e-05,0.024862,0.549346,-1.0889,33.875,1,21421,8748782
left,35,5,0.999393,-0.00535569,0.0344359,4.91461e-05,-0.460503,-0.028662,9.79832,0.339353,-0.458512,1.09494,-0.00460546,-0.000300117,0.0979832,1,6.80255e-05,-2.25977e-06,1.8083e-05,0.0136051,-0.000451954,0.00361661,0.999393,-0.00535569,0.0344359,4.91461e-05,0.024862,0.549346,-1.0889,33.875,1,21421,8748782
left,35,6,0.999393,-0.00528589,0.0344226,7.56611e-05,-0.557981,-0.0158642,9.75703,0.224569,-0.441041,1.04447,-0.00558113,-0.000171667,0.0975702,1,6.51406e-05,-6.81701e-06,2.81534e-05,0.0130281,-0.0013634,0.00563069,0.999393,-0.00528589,0.0344226,7.56611e-05,0.022056,0.544492,-1.089,33.875,1,21422,8748882
