source,frame_id,imu_idx,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,free_accel_x,free_accel_y,free_accel_z,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z,rate_x,rate_y,rate_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature,status_byte,packet_counter,time_fine
left,31,3,0.999294,-0.00431621,0.0373319,-0.000165756,-0.730329,-0.0705218,9.78143,0.372327,-0.077509,0.824586,-0.00730424,-0.000715758,0.0978142,1,5.29383e-05,-4.93803e-06,1.26156e-05,0.0105877,-0.000987606,0.00252312,0.999294,-0.00431621,0.0373319,-0.000165756,-0.244181,0.104729,-0.869759,35.0625,1,44164,4463532
right,14,1,0.999294,-0.00431621,0.0373319,-0.000165756,-0.730329,-0.0705218,9.78143,0.372327,-0.077509,0.824586,-0.00730424,-0.000715758,0.0978142,1,5.29383e-05,-4.93803e-06,1.26156e-05,0.0105877,-0.000987606,0.00252312,0.999294,-0.00431621,0.0373319,-0.000165756,-0.244181,0.104729,-0.869759,35.0625,1,44164,4463532
right,14,2,0.999294,-0.00427189,0.0373281,-0.000165537,-0.730735,-0.0698908,9.77228,0.372882,-0.0754466,0.809774,-0.0073082,-0.000707539,0.0977227,1,4.40292e-05,-4.38295e-06,1.78607e-06,0.00880584,-0.00087659,0.000357213,0.999294,-0.00427189,0.0373281,-0.000165537,-0.243638,0.103235,-0.86828,35.0625,1,44165,4463632
right,14,3,0.999294,-0.00427189,0.0373281,-0.000165537,-0.730735,-0.0698908,9.77228,0.372882,-0.0754466,0.809774,-0.0073082,-0.000707539,0.0977227,1,4.40292e-05,-4.38295e-06,1.78607e-06,0.00880584,-0.00087659,0.000357213,0.999294,-0.00427189,0.0373281,-0.000165537,-0.243638,0.103235,-0.86828,35.0625,1,44165,4463632
right,14,4,0.999294,-0.00427189,0.0373281,-0.000165537,-0.730735,-0.0698908,9.77228,0.372882,-0.0754466,0.809774,-0.0073082,-0.000707539,0.0977227,1,4.40292e-05,-4.38295e-06,1.78607e-06,0.00880584,-0.00087659,0.000357213,0.999294,-0.00427189,0.0373281,-0.000165537,-0.243638,0.103235,-0.86828,35.0625,1,44165,4463632
right,14,5,0.999294,-0.00422754,0.0373208,-0.000155681,-0.73492,-0.082033,9.78408,0.367528,-0.0883873,0.824013,-0.00735068,-0.000829051,0.0978406,1,4.37182e-05,-7.66645e-06,1.13283e-05,0.00874365,-0.00153329,0.00226566,0.999294,-0.00422754,0.0373208,-0.000155681,-0.244564,0.10177,-0.867803,35.0625,1,44166,4463732
left,32,1,0.999294,-0.00422754,0.0373208,-0.000155681,-0.73492,-0.082033,9.78408,0.367528,-0.0883873,0.824013,-0.00735068,-0.000829051,0.0978406,1,4.37182e-05,-7.66645e-06,1.13283e-05,0.00874365,-0.00153329,0.00226566,0.999294,-0.00422754,0.0373208,-0.000155681,-0.244564,0.10177,-0.867803,35.0625,1,44166,4463732
left,32,2,0.999294,-0.00422754,0.0373208,-0.000155681,-0.73492,-0.082033,9.78408,0.367528,-0.0883873,0.824013,-0.00735068,-0.000829051,0.0978406,1,4.37182e-05,-7.66645e-06,1.13283e-05,0.00874365,-0.00153329,0.00226566,0.999294,-0.00422754,0.0373208,-0.000155681,-0.244564,0.10177,-0.867803,35.0625,1,44166,4463732
left,32,3,0.999295,-0.00417658,0.0373178,-0.000154377,-0.733084,-0.068226,9.78384,0.365891,-0.0732778,0.825193,-0.0073315,-0.000692225,0.0978383,1,5.06938e-05,-3.37126e-06,3.15342e-06,0.0101388,-0.000674251,0.000630684,0.999295,-0.00417658,0.0373178,-0.000154377,-0.246093,0.103291,-0.870288,35.0625,1,44167,4463832
left,32,4,0.999295,-0.00417658,0.0373178,-0.000154377,-0.733084,-0.068226,9.78384,0.365891,-0.0732778,0.825193,-0.0073315,-0.000692225,0.0978383,1,5.06938e-05,-3.37126e-06,3.15342e-06,0.0101388,-0.000674251,0.000630684,0.999295,-0.00417658,0.0373178,-0.000154377,-0.246093,0.103291,-0.870288,35.0625,1,44167,4463832
left,32,5,0.999295,-0.00417658,0.0373178,-0.000154377,-0.733084,-0.068226,9.78384,0.365891,-0.0732778,0.825193,-0.0073315,-0.000692225,0.0978383,1,5.06938e-05,-3.37126e-06,3.15342e-06,0.0101388,-0.000674251,0.000630684,0.999295,-0.00417658,0.0373178,-0.000154377,-0.246093,0.103291,-0.870288,35.0625,1,44167,4463832
right,15,1,0.999295,-0.00411835,0.0373138,-0.00014798,-0.727631,-0.0674125,9.78415,0.373735,-0.0736008,0.821065,-0.0072771,-0.000685541,0.0978414,1,5.77029e-05,-4.09049e-06,8.61093e-06,0.0115406,-0.000818098,0.00172219,0.999295,-0.00411835,0.0373138,-0.00014798,-0.245111,0.102786,-0.869798,35.0625,1,44168,4463932
right,15,2,0.999295,-0.00411835,0.0373138,-0.00014798,-0.727631,-0.0674125,9.78415,0.373735,-0.0736008,0.821065,-0.0072771,-0.000685541,0.0978414,1,5.77029e-05,-4.09049e-06,8.61093e-06,0.0115406,-0.000818098,0.00172219,0.999295,-0.00411835,0.0373138,-0.00014798,-0.245111,0.102786,-0.869798,35.0625,1,44168,4463932
right,15,3,0.999295,-0.00411835,0.0373138,-0.00014798,-0.727631,-0.0674125,9.78415,0.373735,-0.0736008,0.821065,-0.0072771,-0.000685541,0.0978414,1,5.77029e-05,-4.09049e-06,8.61093e-06,0.0115406,-0.000818098,0.00172219,0.999295,-0.00411835,0.0373138,-0.00014798,-0.245111,0.102786,-0.869798,35.0625,1,44168,4463932
right,15,4,0.999296,-0.00405664,0.0373034,-0.000151667,-0.729226,-0.0827919,9.78029,0.379238,-0.0894242,0.820988,-0.00729438,-0.000839935,0.0978027,1,6.1553e-05,-1.08086e-05,-1.67422e-06,0.0123106,-0.00216173,-0.000334844,0.999296,-0.00405664,0.0373034,-0.000151667,-0.243675,0.103262,-0.869794,35.0625,1,44169,4464032
right,15,5,0.999296,-0.00405664,0.0373034,-0.000151667,-0.729226,-0.0827919,9.78029,0.379238,-0.0894242,0.820988,-0.00729438,-0.000839935,0.0978027,1,6.1553e-05,-1.08086e-05,-1.67422e-06,0.0123106,-0.00216173,-0.000334844,0.999296,-0.00405664,0.0373034,-0.000151667,-0.243675,0.103262,-0.869794,35.0625,1,44169,4464032
right,15,6,0.999296,-0.00405664,0.0373034,-0.000151667,-0.729226,-0.0827919,9.78029,0.379238,-0.0894242,0.820988,-0.00729438,-0.000839935,0.0978027,1,6.1553e-05,-1.08086e-05,-1.67422e-06,0.0123106,-0.00216173,-0.000334844,0.999296,-0.00405664,0.0373034,-0.000151667,-0.243675,0.103262,-0.869794,35.0625,1,44169,4464032
left,33,1,0.999296,-0.00400616,0.0372949,-0.000141981,-0.728329,-0.0702643,9.78209,0.37498,-0.0763102,0.820771,-0.007285,-0.000712568,0.0978207,1,4.98965e-05,-8.83825e-06,1.12208e-05,0.0099793,-0.00176765,0.00224416,0.999296,-0.00400616,0.0372949,-0.000141981,-0.242701,0.103245,-0.869294,35.0625,1,44170,4464132
left,33,2,0.999296,-0.00400616,0.0372949,-0.000141981,-0.728329,-0.0702643,9.78209,0.37498,-0.0763102,0.820771,-0.007285,-0.000712568,0.0978207,1,4.98965e-05,-8.83825e-06,1.12208e-05,0.0099793,-0.00176765,0.00224416,0.999296,-0.00400616,0.0372949,-0.000141981,-0.242701,0.103245,-0.869294,35.0625,1,44170,4464132
left,33,3,0.999296,-0.00400616,0.0372949,-0.000141981,-0.728329,-0.0702643,9.78209,0.37498,-0.0763102,0.820771,-0.007285,-0.000712568,0.0978207,1,4.98965e-05,-8.83825e-06,1.12208e-05,0.0099793,-0.00176765,0.00224416,0.999296,-0.00400616,0.0372949,-0.000141981,-0.242701,0.103245,-0.869294,35.0625,1,44170,4464132
left,33,4,0.999297,-0.00395855,0.0372781,-0.000130719,-0.7229,-0.0751773,9.79763,0.378512,-0.0851309,0.837263,-0.00723231,-0.000761118,0.097976,1,4.67785e-05,-1.6965e-05,1.23901e-05,0.0093557,-0.003393,0.00247803,0.999297,-0.00395855,0.0372781,-0.000130719,-0.243137,0.102734,-0.867788,35.0625,1,44171,4464232
right,16,1,0.999297,-0.00395855,0.0372781,-0.000130719,-0.7229,-0.0751773,9.79763,0.378512,-0.0851309,0.837263,-0.00723231,-0.000761118,0.097976,1,4.67785e-05,-1.6965e-05,1.23901e-05,0.0093557,-0.003393,0.00247803,0.999297,-0.00395855,0.0372781,-0.000130719,-0.243137,0.102734,-0.867788,35.0625,1,44171,4464232
right,16,2,0.999297,-0.00395855,0.0372781,-0.000130719,-0.7229,-0.0751773,9.79763,0.378512,-0.0851309,0.837263,-0.00723231,-0.000761118,0.097976,1,4.67785e-05,-1.6965e-05,1.23901e-05,0.0093557,-0.003393,0.00247803,0.999297,-0.00395855,0.0372781,-0.000130719,-0.243137,0.102734,-0.867788,35.0625,1,44171,4464232
