frame_id,point_id,x,y,z,doppler,snr,noise
36,5,-3.5484,8.1947,2.1837,0,151,764,2130
37,1,0.1253,1.3789,-0.2507,0,305,749,2163
37,2,-4.6793,5.6845,-2.8076,0,198,833,2163
37,3,-1.1698,7.789,-0.234,0,198,833,2163
37,4,-3.8855,7.7938,-0.5181,0,161,847,2163
37,5,-3.5484,8.2626,1.9107,0,150,766,2163
38,1,0.0836,1.389,-0.2089,0,302,752,2196
38,2,-4.4453,5.7515,-3.0415,0,210,831,2196
38,3,-1.1698,7.789,-0.234,0,210,831,2196
38,4,-4.1891,7.7593,0,0,190,816,2196
38,5,-3.5484,8.1947,2.1837,0,158,759,2196
39,1,0.1253,1.3859,-0.2089,0,307,747,2230
39,2,-4.4453,5.7515,-3.0415,0,217,823,2230
39,3,-1.1698,7.789,-0.234,0,217,823,2230
39,4,-4.1891,7.7549,0.2618,0,183,824,2230
40,1,0.1253,1.3789,-0.2507,0,302,751,2263
40,2,-4.4453,5.7515,-3.0415,0,203,834,2263
40,3,-1.1698,7.7925,0,0,203,834,2263
40,4,-3.6264,7.9177,-0.5181,0,169,838,2263
40,5,0.6016,2.3654,-0.6768,-1.4275,163,572,2263
41,1,0.1253,1.3789,-0.2507,0,305,749,2297
41,2,-4.4453,5.7515,-3.0415,0,200,836,2297
41,3,-1.1698,7.789,-0.234,0,200,836,2297
41,4,-3.3312,7.9614,0,0,156,851,2297
42,1,0.1253,1.3859,-0.2089,0,304,750,2330
42,2,-4.6793,5.6845,-2.8076,0,204,833,2330
42,3,-1.1698,7.789,-0.234,0,204,833,2330
42,4,-3.8855,7.7938,-0.5181,0,162,844,2330
42,5,0.3621,2.3007,-0.7242,-2.3791,236,547,2330
43,1,0.1253,1.3859,-0.2089,0,305,748,2363
43,2,-4.4453,5.6215,-3.2755,0,210,835,2363
43,3,-1.1698,7.7784,-0.4679,0,210,835,2363
43,4,-3.8855,7.7938,-0.5181,0,165,844,2363
43,5,0.4874,2.1364,-0.8356,-1.9033,201,560,2363
44,1,0.1253,1.3789,-0.2507,0,303,751,2397
44,2,-4.6793,5.5628,-3.0415,0,203,834,2397
44,3,-1.1698,7.789,-0.234,0,203,834,2397
44,4,-3.6264,7.9177,-0.5181,0,179,829,2397
44,5,-4.1891,7.7593,0,0,195,813,2397
45,1,0.1253,1.3859,-0.2089,0,301,752,2430
45,2,-4.6793,5.6845,-2.8076,0,198,833,2430
45,3,-1.1698,7.789,-0.234,0,198,833,2430
45,4,-3.8855,7.7938,-0.5181,0,169,840,2430
45,5,-3.5484,8.2626,1.9107,0,150,765,2430
46,1,0.1253,1.3859,-0.2089,0,303,750,2463
46,2,-4.6793,5.6845,-2.8076,0,199,832,2463
