source,frame_id,point_id,x,y,z,doppler,snr,noise
right,41,1,0.2804,1.5515,1.7527,0,187,584
right,41,2,0.2549,0.9908,-0.3187,-0.2882,171,650
right,41,3,-5.1625,8.0651,1.1472,-0.2882,182,480
right,42,1,0.1402,1.5704,1.7527,0,188,587
right,42,2,0.2549,0.9908,-0.3187,-0.2882,157,664
right,42,3,-5.4493,7.9106,0.8604,-0.2882,193,466
right,43,1,0.2804,1.5515,1.7527,0,197,579
right,43,2,2.1415,2.6607,-0.3059,0,122,532
right,43,3,0.2868,0.9821,-0.3187,-0.2882,145,668
right,43,4,-5.1625,8.126,0.5736,-0.2882,198,455
right,44,1,0.1402,1.5704,1.7527,0,199,578
right,44,2,2.0395,2.6626,-0.7138,0,135,518
right,44,3,0.2868,0.9919,-0.2868,-0.2882,154,668
right,44,4,-5.4493,7.9366,0.5736,-0.2882,176,459
right,45,1,0.2804,1.5515,1.7527,0,198,582
right,45,2,0.2868,0.9821,-0.3187,-0.2882,170,661
right,45,3,-4.8757,8.3013,0.5736,-0.2882,171,454
right,46,1,0.2103,1.5626,1.7527,0,207,566
right,46,2,0.2868,0.9821,-0.3187,-0.2882,162,659
right,46,3,-4.3021,8.6269,0.2868,-0.2882,135,486
right,47,1,0.2804,1.5515,1.7527,0,203,575
right,47,2,2.0076,2.4815,-0.3824,0,117,529
right,47,3,2.7087,2.2773,-0.8668,0,137,514
right,47,4,0.3187,0.9821,-0.2868,-0.2882,157,660
right,47,5,-3.7285,8.8945,0,-0.2882,149,462
right,48,1,0.3505,1.4534,1.8228,0,197,576
right,48,2,2.6004,2.4678,-0.6501,0,121,523
right,48,3,0.2868,0.9919,-0.2868,-0.2882,166,658
right,48,4,-3.7285,8.8759,-0.5736,-0.2882,156,462
right,49,1,0.2103,1.5626,1.7527,0,165,594
right,49,2,2.6004,2.4366,-0.7584,0,146,519
right,49,3,0.3187,0.9821,-0.2868,-0.2882,166,665
right,49,4,-3.6456,8.6787,-0.5609,-0.2882,156,460
right,50,1,0.2103,1.4802,1.8228,0,176,589
right,50,2,2.3454,2.449,-0.5099,0,156,519
right,50,3,0.3505,0.9712,-0.2868,-0.2882,149,667
right,50,4,-3.9261,8.5325,-0.8413,-0.2882,173,444
right,51,1,0.3824,1.3042,1.6571,0,164,607
right,51,2,2.6004,2.4366,-0.7584,0,168,517
right,51,3,0.3187,0.9821,-0.2868,-0.2882,148,677
right,51,4,-3.9261,8.5325,-0.8413,-0.2882,161,458
right,52,1,0.3824,1.3042,1.6571,0,154,605
right,52,2,2.6004,2.4366,-0.7584,0,183,505
right,52,3,0.3505,0.9712,-0.2868,-0.2882,161,663
right,52,4,-4.7674,8.1313,-0.2804,-0.2882,184,451
right,53,1,0.2804,1.5515,1.7527,0,149,602
right,53,2,2.7087,2.3156,-0.7584,0,175,516
right,53,3,0.3505,0.9712,-0.2868,-0.2882,156,664
right,53,4,-4.4869,8.2894,-0.2804,-0.2882,185,448
right,54,1,0.2549,1.4105,1.5934,0,163,596
right,54,2,2.7087,2.3156,-0.7584,0,184,506
right,54,3,-5.4493,7.9366,0.5736,-0.5763,209,422
right,54,4,0.3824,0.9591,-0.2868,-0.2882,171,649
right,55,1,0.4461,1.2838,1.6571,0,162,602
right,55,2,2.8171,2.1825,-0.7584,0,203,489
right,55,3,-4.283,7.9171,0,-0.5763,132,436
right,55,4,-5.1625,8.1412,0.2868,-0.5763,222,408
right,55,5,0.4143,0.9548,-0.2549,-0.2882,141,665
right,56,1,0.5099,1.2599,1.6571,0,169,598
right,56,2,2.7087,2.3156,-0.7584,0,175,514
right,56,3,-4.7674,8.1313,-0.2804,-0.5763,199,442
right,56,4,0.3824,0.968,-0.2549,-0.2882,146,662
right,56,5,-5.6214,8.6702,1.8738,-0.2882,126,407
right,57,1,0.5099,1.2599,1.6571,0,148,608
right,57,2,2.7087,2.3757,-0.5417,0,173,515
right,57,3,-4.4869,8.2941,0,-0.5763,209,436
right,57,4,0.4143,0.9628,-0.2231,-0.2882,127,666
right,57,5,1.7591,4.4529,1.1727,-0.2882,115,495
right,58,1,2.7087,2.3757,-0.5417,0,155,517
right,58,2,-4.2065,8.4398,0,-0.5763,202,438
right,58,3,-2.7533,9.8362,1.2237,-0.5763,134,394
right,58,4,0.4143,0.9628,-0.2231,-0.2882,131,655
right,58,5,0.3824,1.2189,1.7208,-0.2882,149,602
right,59,1,0.3187,1.3212,1.6571,0,165,591
right,59,2,2.8171,2.1703,-0.6501,0,157,516
right,59,3,-4.7674,8.1168,-0.5609,-0.5763,192,439
right,59,4,0.4461,0.9554,-0.1912,-0.2882,125,658
right,60,1,0.5099,1.2599,1.6571,0,176,585
right,60,2,2.7087,2.3483,-0.6501,0,135,515
right,60,3,-4.7674,8.1313,-0.2804,-0.5763,206,443
right,60,4,0.4461,0.9484,-0.2231,-0.2882,140,645
right,61,1,0.5736,1.1415,1.7208,0,190,573
right,61,2,2.8171,2.1703,-0.6501,0,143,492
right,61,3,-5.0478,7.9652,0,-0.5763,233,427
right,61,4,0.3569,0.7523,-0.204,-0.2882,133,651
right,62,1,0.4461,1.0998,1.7846,0,183,566
right,62,2,2.6004,2.5427,-0.2167,0,116,501
right,62,3,-5.0478,7.9652,0,-0.5763,233,429
right,62,4,0.478,0.9246,-0.2549,-0.2882,149,638
right,63,1,2.8171,2.2875,-0.325,0,131,499
right,63,2,-4.7674,8.1313,0.2804,-0.5763,226,429
right,63,3,0.4334,0.7237,-0.153,-0.2882,138,659
right,63,4,0.3824,1.1235,1.7846,-0.2882,162,581
right,64,1,0.5099,1.1713,1.7208,0,198,559
right,64,2,2.2753,2.6733,0.9751,0,116,495
right,64,3,5.9656,4.5355,1.8356,0,115,433
right,64,4,-4.9331,7.7649,0.5481,-0.5763,209,443
right,64,5,0.4844,0.6906,-0.153,-0.2882,154,647
right,65,1,0.5736,1.039,1.7846,0,203,570
right,65,2,2.7087,2.1825,-1.0835,0,126,502
right,65,3,2.492,2.2539,1.4085,0,126,502
right,65,4,-4.9331,7.7794,0.2741,-0.5763,230,431
right,65,5,0.4589,0.7078,-0.153,-0.2882,150,659
right,66,1,0.4461,1.0998,1.7846,0,192,563
right,66,2,2.9254,2.035,-0.7584,0,123,489
right,66,3,2.2753,2.3358,1.6252,0,123,489
right,66,4,-4.385,8.101,-0.2741,-0.5763,222,444
right,66,5,0.4589,0.7078,-0.153,-0.2882,161,652
right,67,1,0.5099,1.1713,1.7208,0,193,570
right,67,2,3.0338,1.8696,-0.7584,0,113,498
right,67,3,2.543,2.6908,1.6953,0,114,494
right,67,4,5.7361,4.6217,2.2945,0,132,436
right,67,5,-4.385,8.101,0.2741,-0.5763,212,451
right,67,6,0.4844,0.6906,-0.153,-0.2882,168,647
right,68,1,0.5099,0.9576,1.8483,0,197,569
right,68,2,2.7852,2.4393,1.6953,0,114,494
right,68,3,-4.385,8.0871,0.5481,-0.5763,209,446
right,68,4,0.5099,0.672,-0.153,-0.2882,157,656
right,69,1,0.5099,1.0717,1.7846,0,183,571
right,69,2,2.9254,2.0721,-0.6501,0,122,479
right,69,3,2.6641,2.571,1.6953,0,144,469
right,69,4,-4.1109,8.2298,0.5481,-0.5763,224,444
right,69,5,0.4589,0.7018,-0.1785,-0.2882,151,640
right,70,1,0.5099,0.9576,1.8483,0,196,562
right,70,2,2.6641,2.571,1.6953,0,113,480
right,70,3,-4.1109,8.2298,0.5481,-0.5763,250,429
right,70,4,0.5099,0.672,-0.153,-0.2882,162,648
right,71,1,0.5736,1.039,1.7846,0,198,564
right,71,2,2.9063,2.3784,1.5743,0,121,483
right,71,3,-4.659,7.9086,0.8222,-0.5763,246,427
right,71,4,0.4844,0.6773,-0.204,-0.2882,136,637
right,72,1,0.5099,1.1713,1.7208,0,170,567
right,72,2,2.8553,1.7147,-0.8158,0,114,489
right,72,3,2.6641,2.4869,1.8164,0,128,478
right,72,4,-5.4812,7.3882,0.5481,-0.5763,224,437
right,72,5,0.5609,0.6233,-0.1785,-0.2882,158,623
right,73,1,0.4461,1.0998,1.7846,0,165,561
right,73,2,-4.5507,7.7663,0,-0.5763,220,449
right,73,3,0.5609,0.6233,-0.1785,-0.2882,168,613
right,74,1,0.5736,1.039,1.7846,0,168,558
right,74,2,-4.659,7.8753,1.0962,-0.5763,238,430
right,74,3,0.5354,0.629,-0.2294,-0.2882,137,626
right,75,1,0.6628,0.5217,-0.153,0,137,644
right,75,2,0.5736,0.9208,1.8483,0,166,557
right,75,3,-4.385,8.0312,1.0962,-0.5763,227,440
right,76,1,0.5099,0.823,1.912,0,145,566
right,76,2,2.9254,2.1472,-0.325,0,120,512
right,76,3,-4.5507,7.6501,1.3384,-0.5763,205,449
right,76,4,0.5864,0.5994,-0.1785,-0.2882,144,618
right,77,1,0.6628,0.534,-0.102,0,162,624
right,77,2,0.3187,0.9142,1.912,0,120,558
right,77,3,-4.283,7.7525,1.6061,-0.5763,214,430
right,78,1,0.6883,0.4948,-0.1275,0,144,632
right,78,2,0.6373,0.8779,1.8483,0,135,557
right,78,3,-5.086,7.4074,0.5354,-0.5763,198,441
right,79,1,0.7011,0.6677,1.912,0,156,560
right,79,2,-3.7476,8.1666,-0.5354,-0.5763,201,440
right,79,3,0.5417,0.8973,-0.2231,-0.2882,128,606
right,80,1,0.6883,0.4948,-0.1275,0,187,603
right,80,2,2.2371,1.6082,-0.4143,0,120,506
right,80,3,2.2753,2.0721,1.9503,0,126,490
right,80,4,-4.0153,8.0384,0.5354,-0.5763,197,444
right,81,1,0.7393,0.4061,-0.153,0,181,617
right,81,2,-0.153,0.9846,-2.3709,0,120,527
right,81,3,2.2753,2.3358,1.6252,0,113,470
right,81,4,-4.283,7.8763,0.8031,-0.5763,207,434
right,81,5,0.4461,0.9404,-0.2549,-0.2882,184,577
right,81,6,-0.956,0.467,-0.1275,-0.2882,184,577
right,82,1,0.7138,0.4573,-0.1275,0,168,614
right,82,2,-4.8439,6.9573,-1.2747,-0.8645,163,426
right,82,3,0.4461,0.9311,-0.2868,-0.5763,130,582
right,82,4,-4.181,7.6888,-0.7839,-0.5763,150,448
right,82,5,7.3996,5.4657,0.5481,-0.5763,162,423
right,82,6,0.5481,9.1626,-0.8222,-0.5763,162,423
right,82,7,-4.1109,7.7794,2.7406,-0.5763,162,423
right,83,1,0.7138,0.4494,-0.153,0,198,578
right,83,2,5.9656,4.4358,2.065,0,123,419
right,83,3,-5.3537,6.3773,-2.0395,-0.8645,152,443
right,83,4,-0.1721,1.8656,-0.4589,-0.5763,120,551
right,83,5,-5.3537,7.2312,0.2677,-0.5763,163,437
right,83,6,1.0707,8.792,1.6061,-0.5763,163,437
right,84,1,6.3671,4.2234,2.1224,0,118,406
right,84,2,-3.9197,7.7065,-1.5679,-0.5763,175,448
right,84,3,0.4844,0.6773,-0.204,-0.2882,159,567
right,85,1,0.153,0.9846,-2.3709,0,161,483
right,85,2,-4.2256,7.1427,-0.9943,-0.8645,126,458
right,85,3,-4.0153,8.0562,0,-0.5763,203,427
right,85,4,-3.4417,8.7123,2.2945,-0.5763,125,408
right,85,5,8.6042,4.2709,0.8604,-0.5763,125,408
right,85,6,0.5099,0.6583,-0.204,-0.2882,193,559
right,86,1,0.5428,0.3164,-0.0765,0,159,562
right,86,2,2.167,2.0834,2.0586,0,132,451
right,86,3,-3.6584,7.985,-0.2613,-0.5763,215,440
right,86,4,0.4844,0.6844,-0.1785,-0.2882,171,567
right,87,1,0.5428,0.3164,-0.0765,0,224,542
right,87,2,-3.3971,8.0996,-0.2613,-0.8645,229,414
right,87,3,-0.0574,1.8726,-0.4589,-0.5763,117,557
right,87,4,-3.3971,8.0996,-0.2613,-0.5763,212,431
right,87,5,0.6373,0.8229,-0.2549,-0.2882,206,534
right,88,1,0,1.1618,-2.2945,0,121,493
right,88,2,-0.3187,2.3993,-4.7801,0,124,413
right,88,3,-3.1358,8.1918,-0.5226,-0.8645,187,411
right,88,4,-0.1147,1.87,-0.4589,-0.5763,116,543
right,88,5,0.5099,0.672,-0.153,-0.2882,219,543
right,89,1,-4.2256,7.1037,-1.2428,-0.8645,153,446
right,89,2,-2.0905,8.3895,-1.5679,-0.8645,161,419
right,89,3,3.3971,8.0651,-0.7839,-0.8645,161,419
right,89,4,0.6119,0.5437,-0.2549,-0.2882,164,545
right,90,1,0,1.549,-3.0593,0,134,459
right,90,2,-3.7285,7.3306,-1.4914,-0.8645,167,448
right,90,3,0.2677,1.2484,-0.153,-0.5763,135,543
right,90,4,0,1.8735,-0.4589,-0.5763,116,548
right,90,5,-2.4092,8.6066,1.0707,-0.5763,176,423
right,90,6,0.5354,0.6573,-0.1275,-0.2882,174,553
right,91,1,-0.204,1.8879,-2.8553,0,116,449
right,91,2,-3.5692,7.7903,-0.2549,-0.8645,213,433
right,91,3,0.2294,1.2277,-0.3059,-0.5763,146,553
right,91,4,-5.8126,7.7921,3.3652,-0.5763,113,366
right,91,5,0.4844,0.6957,-0.1275,-0.2882,153,552
right,92,1,-0.204,1.3129,-3.1613,0,123,452
right,92,2,-0.3187,2.9499,-4.4614,0,117,393
right,92,3,-3.8751,7.0973,-0.9688,-0.8645,127,454
right,92,4,-3.9197,7.8252,0.7839,-0.8645,203,419
right,92,5,0.3059,1.2109,-0.3059,-0.5763,141,550
right,92,6,0.5354,0.6676,-0.051,-0.2882,160,558
right,93,1,0.3824,0.9202,2.3709,0,155,472
right,93,2,-4.334,7.3789,0.5099,-0.8645,219,413
right,93,3,0.3059,1.2006,-0.3442,-0.5763,156,545
right,94,1,-0.8158,0.1937,-0.1785,0,121,564
right,94,2,-0.478,2.0202,-4.9395,0,113,400
right,94,3,-4.1173,7.01,-0.4844,-0.8645,156,449
right,94,4,-4.4423,7.4175,1.5679,-0.8645,196,407
right,94,5,0.3059,1.2343,-0.1912,-0.5763,139,560
right,95,1,0.3059,0.9483,-2.3709,0,184,465
right,95,2,-3.5692,7.7568,0.7648,-0.8645,207,428
right,95,3,0.3442,1.2097,-0.2677,-0.5763,166,557
right,96,1,-3.1358,7.9378,2.0905,-0.8645,199,414
right,96,2,7.5781,4.448,0,-0.8645,199,414
right,96,3,-3.6584,7.1025,-3.6584,-0.8645,199,414
right,96,4,0.3442,1.2097,-0.2677,-0.5763,158,571
right,97,1,0.7903,0.2948,-0.153,0,144,541
right,97,2,0.0765,1.2996,-2.1711,0,138,461
right,97,3,-3.6329,7.1426,-1.4532,-0.8645,121,458
right,97,4,-1.5679,8.4503,1.8292,-0.8645,192,425
right,97,5,-8.362,2.6488,0.5226,-0.8645,192,425
right,97,6,0.3187,1.0106,-0.1593,-0.5763,150,565
right,98,1,0.6628,0.852,2.5685,0,152,462
right,98,2,-4.334,7.3789,0.5099,-0.8645,201,420
right,98,3,0.3505,0.98,-0.2549,-0.5763,173,550
right,98,4,0.051,1.6762,-0.3569,-0.5763,114,548
right,99,1,0.5428,0.2967,-0.1338,0,160,536
right,99,2,-3.8241,7.6726,0,-0.8645,211,425
right,99,3,0.4143,0.9548,-0.2549,-0.5763,146,557
right,100,1,0.6628,0.5217,-0.153,0,153,543
right,100,2,0.58,0.9104,2.5685,0,182,453
right,100,3,-3.3142,7.8691,0.7648,-0.8645,232,416
right,100,4,0.4143,0.9457,-0.2868,-0.5763,145,558
right,101,1,0.7138,0.4573,-0.1275,0,175,539
right,101,2,0.5354,1.0311,2.2945,0,137,467
right,101,3,0.6119,1.7976,2.8553,0,120,449
right,101,4,-4.2256,7.173,0.7457,-0.8645,204,437
right,101,5,0.4143,0.9753,-0.1593,-0.5763,151,562
right,102,1,0.5736,0.2847,-0.0574,0,183,540
right,102,2,0.3824,0.9202,2.3709,0,150,483
right,102,3,-4.2256,7.1037,1.2428,-0.8645,205,431
right,102,4,0.478,0.9328,-0.2231,-0.5763,137,550
right,103,1,0.7393,0.3956,-0.1785,0,136,563
right,103,2,0.2294,0.9697,2.3709,0,162,468
right,103,3,-4.2256,7.1037,1.2428,-0.8645,218,427
right,103,4,0.3824,0.9883,-0.1593,-0.5763,147,553
right,104,1,0.3824,0.9202,2.3709,0,187,469
right,104,2,0.204,1.3129,-3.1613,0,160,428
right,104,3,-3.9771,7.2841,0.9943,-0.8645,207,439
right,104,4,0.5099,0.9074,-0.2549,-0.5763,153,545
right,105,1,0.7457,1.6018,2.1542,0,124,446
right,105,2,-3.5373,6.8418,-1.8866,-0.8645,161,452
right,105,3,-4.4742,6.9897,0.9943,-0.8645,204,425
right,105,4,0.5099,0.9157,-0.2231,-0.2882,181,521
right,106,1,-3.7285,7.4435,0.7457,-0.8645,201,434
right,106,2,0.5099,0.9339,-0.1275,-0.2882,197,532
right,107,1,0.3824,0.9202,2.3709,0,172,458
right,107,2,0,1.0536,-3.2632,0,137,442
right,107,3,-3.4799,7.5955,0.2486,-0.8645,215,440
right,107,4,-4.7929,8.7321,-1.4978,-0.8645,116,361
right,107,5,-3.5946,7.9127,5.0924,-0.8645,116,361
right,107,6,0.6055,0.8697,-0.1593,-0.2882,191,540
right,108,1,-3.2314,7.6441,0.9943,-0.8645,225,426
right,108,2,0.5736,0.9029,-0.0637,-0.2882,192,540
right,109,1,-2.1797,7.787,-0.9688,-0.8645,185,437
right,109,2,0.6373,0.84,-0.1912,-0.2882,185,537
right,110,1,0.6628,1.0699,-2.4857,0,166,456
right,110,2,-1.0198,1.166,-3.0593,0,122,429
right,110,3,0.7138,1.5823,-2.9573,0,122,429
right,110,4,-4.2447,6.6313,-0.9433,-0.8645,168,461
right,110,5,-1.6826,9.0026,2.2435,-0.8645,119,374
right,110,6,-8.413,3.7806,1.963,-0.8645,119,374
right,110,7,0.5609,0.6154,-0.204,-0.2882,189,536
right,111,1,0.58,1.117,2.4857,0,146,481
right,111,2,-3.9006,6.4602,-1.6061,-0.8645,195,455
right,111,3,0.6692,0.7863,-0.2868,-0.2882,138,538
right,112,1,0.3059,0.9483,2.3709,0,164,497
right,112,2,-0.3187,2.6934,-4.6208,0,119,382
right,112,3,-3.9006,6.4602,-1.6061,-0.8645,195,455
right,112,4,0.3824,1.189,-0.3059,-0.5763,120,548
right,112,5,0.5099,0.6773,-0.1275,-0.2882,128,564
